AcCurrent, SEL-734 0 - Metrology - Amps, Amps,,,,,,,
12/1/2009 12:44,138,1259693062138, 12/01/2009 12:45:07,419,1259693107419,0,0,0, 
12/1/2009 12:45,419,1259693107419, 12/01/2009 12:45:08,247,1259693108247,0,0,0, 
12/1/2009 12:45,247,1259693108247, 12/01/2009 12:45:09,294,1259693109294,0,0,0, 
12/1/2009 12:45,294,1259693109294, 12/01/2009 12:45:10,263,1259693110263,0,0,0, 
12/1/2009 12:45,263,1259693110263, 12/01/2009 12:45:11,325,1259693111325,0,0,0, 
12/1/2009 12:45,325,1259693111325, 12/01/2009 12:45:12,263,1259693112263,0,0,0, 
12/1/2009 12:45,263,1259693112263, 12/01/2009 12:45:13,403,1259693113403,0,0,0, 
12/1/2009 12:45,403,1259693113403, 12/01/2009 12:45:14,481,1259693114481,0,0,0, 
12/1/2009 12:45,481,1259693114481, 12/01/2009 12:45:15,278,1259693115278,0,0,0, 
12/1/2009 12:45,278,1259693115278, 12/01/2009 12:45:16,294,1259693116294,0,0,0, 
12/1/2009 12:45,294,1259693116294, 12/01/2009 12:45:17,325,1259693117325,0,0,0, 
12/1/2009 12:45,325,1259693117325, 12/01/2009 12:45:18,263,1259693118263,0,0,0, 
12/1/2009 12:45,263,1259693118263, 12/01/2009 12:45:19,450,1259693119450,0.073700002,0.134,0.111912063, 
12/1/2009 12:45,450,1259693119450, 12/01/2009 12:45:20,263,1259693120263,0.122650003,0.223,0.186241716, 
12/1/2009 12:45,263,1259693120263, 12/01/2009 12:45:21,310,1259693121310,0.262259999,0.279,0.095187671, 
12/1/2009 12:45,310,1259693121310, 12/01/2009 12:45:22,294,1259693122294,0.262259999,0.279,0.095187671, 
12/1/2009 12:45,294,1259693122294, 12/01/2009 12:45:23,372,1259693123372,0.262259999,0.279,0.095187671, 
12/1/2009 12:45,372,1259693123372, 12/01/2009 12:45:24,294,1259693124294,0.262259999,0.279,0.095187671, 
12/1/2009 12:45,294,1259693124294, 12/01/2009 12:45:25,466,1259693125466,0.261319999,0.278,0.094846497, 
12/1/2009 12:45,466,1259693125466, 12/01/2009 12:45:26,278,1259693126278,0.261319999,0.278,0.094846497, 
12/1/2009 12:45,278,1259693126278, 12/01/2009 12:45:27,325,1259693127325,0.261319999,0.278,0.094846497, 
12/1/2009 12:45,325,1259693127325, 12/01/2009 12:45:28,294,1259693128294,0.261319999,0.278,0.094846497, 
12/1/2009 12:45,294,1259693128294, 12/01/2009 12:45:29,403,1259693129403,0.260379999,0.277,0.094505322, 
12/1/2009 12:45,403,1259693129403, 12/01/2009 12:45:30,294,1259693130294,0.259439999,0.276,0.094164148, 
12/1/2009 12:45,294,1259693130294, 12/01/2009 12:45:31,497,1259693131497,0.259439999,0.276,0.094164148, 
12/1/2009 12:45,497,1259693131497, 12/01/2009 12:45:32,294,1259693132294,0.259439999,0.276,0.094164148, 
12/1/2009 12:45,294,1259693132294, 12/01/2009 12:45:33,325,1259693133325,0.258499999,0.275,0.093822973, 
12/1/2009 12:45,325,1259693133325, 12/01/2009 12:45:34,294,1259693134294,0.260299997,0.274,0.085556483, 
12/1/2009 12:45,294,1259693134294, 12/01/2009 12:45:35,372,1259693135372,0.260299997,0.274,0.085556483, 
12/1/2009 12:45,372,1259693135372, 12/01/2009 12:45:36,294,1259693136294,0.257559999,0.274,0.093481799, 
12/1/2009 12:45,294,1259693136294, 12/01/2009 12:45:37,497,1259693137497,0.256619999,0.273,0.093140625, 
12/1/2009 12:45,497,1259693137497, 12/01/2009 12:45:38,325,1259693138325,0.256619999,0.273,0.093140625, 
12/1/2009 12:45,325,1259693138325, 12/01/2009 12:45:39,294,1259693139294,0.258399997,0.272,0.084931983, 
12/1/2009 12:45,294,1259693139294, 12/01/2009 12:45:40,325,1259693140325,0.210559999,0.224,0.076423077, 
12/1/2009 12:45,325,1259693140325, 12/01/2009 12:45:41,372,1259693141372,0.254739999,0.271,0.092458276, 
12/1/2009 12:45,372,1259693141372, 12/01/2009 12:45:42,278,1259693142278,0.253799999,0.27,0.092117101, 
12/1/2009 12:45,278,1259693142278, 12/01/2009 12:45:43,450,1259693143450,0.253799999,0.27,0.092117101, 
12/1/2009 12:45,450,1259693143450, 12/01/2009 12:45:44,294,1259693144294,0.253799999,0.27,0.092117101, 
12/1/2009 12:45,294,1259693144294, 12/01/2009 12:45:45,310,1259693145310,0.252859999,0.269,0.091775927, 
12/1/2009 12:45,310,1259693145310, 12/01/2009 12:45:46,325,1259693146325,0.252859999,0.269,0.091775927, 
12/1/2009 12:45,325,1259693146325, 12/01/2009 12:45:47,388,1259693147388,0.252859999,0.269,0.091775927, 
12/1/2009 12:45,388,1259693147388, 12/01/2009 12:45:48,278,1259693148278,0.252859999,0.269,0.091775927, 
12/1/2009 12:45,278,1259693148278, 12/01/2009 12:45:49,481,1259693149481,0.252859999,0.269,0.091775927, 
12/1/2009 12:45,481,1259693149481, 12/01/2009 12:45:50,294,1259693150294,0.251919999,0.268,0.091434752, 
12/1/2009 12:45,294,1259693150294, 12/01/2009 12:45:51,325,1259693151325,0.253649997,0.267,0.083370733, 
12/1/2009 12:45,325,1259693151325, 12/01/2009 12:45:52,294,1259693152294,0.250979999,0.267,0.091093578, 
12/1/2009 12:45,294,1259693152294, 12/01/2009 12:45:53,356,1259693153356,0.253649997,0.267,0.083370733, 
12/1/2009 12:45,356,1259693153356, 12/01/2009 12:45:54,294,1259693154294,0.250979999,0.267,0.091093578, 
12/1/2009 12:45,294,1259693154294, 12/01/2009 12:45:55,450,1259693155450,0.250979999,0.267,0.091093578, 
12/1/2009 12:45,450,1259693155450, 12/01/2009 12:45:56,247,1259693156247,0.250039999,0.266,0.090752403, 
12/1/2009 12:45,247,1259693156247, 12/01/2009 12:45:57,263,1259693157263,0.250039999,0.266,0.090752403, 
12/1/2009 12:45,263,1259693157263, 12/01/2009 12:45:58,310,1259693158310,0.250039999,0.266,0.090752403, 
12/1/2009 12:45,310,1259693158310, 12/01/2009 12:45:59,356,1259693159356,0.251749997,0.265,0.082746233, 
12/1/2009 12:45,356,1259693159356, 12/01/2009 12:46:00,372,1259693160372,0.249099999,0.265,0.090411229, 
12/1/2009 12:46,372,1259693160372, 12/01/2009 12:46:01,497,1259693161497,0.249099999,0.265,0.090411229, 
12/1/2009 12:46,497,1259693161497, 12/01/2009 12:46:02,278,1259693162278,0.248159999,0.264,0.090070054, 
12/1/2009 12:46,278,1259693162278, 12/01/2009 12:46:03,294,1259693163294,0.250799997,0.264,0.082433983, 
12/1/2009 12:46,294,1259693163294, 12/01/2009 12:46:04,278,1259693164278,0.247219999,0.263,0.08972888, 
12/1/2009 12:46,278,1259693164278, 12/01/2009 12:46:05,372,1259693165372,0.247219999,0.263,0.08972888, 
12/1/2009 12:46,372,1259693165372, 12/01/2009 12:46:06,278,1259693166278,0.249849997,0.263,0.082121733, 
12/1/2009 12:46,278,1259693166278, 12/01/2009 12:46:07,481,1259693167481,0.248899997,0.262,0.081809483, 
12/1/2009 12:46,481,1259693167481, 12/01/2009 12:46:08,278,1259693168278,0.248899997,0.262,0.081809483, 
12/1/2009 12:46,278,1259693168278, 12/01/2009 12:46:09,294,1259693169294,0.246279999,0.262,0.089387706, 
12/1/2009 12:46,294,1259693169294, 12/01/2009 12:46:10,278,1259693170278,0.246279999,0.262,0.089387706, 
12/1/2009 12:46,278,1259693170278, 12/01/2009 12:46:11,388,1259693171388,0.247949997,0.261,0.081497233, 
12/1/2009 12:46,388,1259693171388, 12/01/2009 12:46:12,294,1259693172294,0.245339999,0.261,0.089046531, 
12/1/2009 12:46,294,1259693172294, 12/01/2009 12:46:13,435,1259693173435,0.247949997,0.261,0.081497233, 
12/1/2009 12:46,435,1259693173435, 12/01/2009 12:46:14,247,1259693174247,0.247949997,0.261,0.081497233, 
12/1/2009 12:46,247,1259693174247, 12/01/2009 12:46:15,294,1259693175294,0.246999997,0.26,0.081184983, 
